#{"t_start": 1663568609.2227702, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
12,50,16.725532,0.38,0.3830290736984449
20,50,16.915731,0.3,0.3223606168446026
18,50,17.096144,0.32,0.36819244904777815
16,50,17.272786,0.34,0.40175695461200583
0,50,17.43341,0.5,0.5420472440944882
12,50,17.603522,0.38,0.4151898734177215
18,50,17.784499,0.32,0.35212694125590815
8,50,19.32518,0.42,0.4488239033693579
26,50,19.519668,0.24,0.2711138310893513
28,50,19.717126,0.22,0.2758506772381896
10,50,19.89254,0.4,0.4478330658105939
14,50,20.070567,0.36,0.4053791315618924
32,50,20.276013,0.18,0.21439700841383608
14,50,20.451406,0.36,0.3357142857142857
24,50,20.641068,0.26,0.27761674718196455
12,50,20.800573,0.38,0.3979791395045632
20,50,20.974886,0.3,0.3637756665645112
28,50,21.157041,0.22,0.24881889763779527
16,50,21.332181,0.34,0.3620742559067199
14,50,21.513139,0.36,0.44756944444444446
20,50,21.696417,0.3,0.31910509272887844
16,50,21.879972,0.34,0.3732833957553059
14,50,22.05757,0.36,0.41690590111642745
12,50,22.227332,0.38,0.39147640791476407
12,50,22.410357,0.38,0.4378892166502786
32,50,22.611392,0.18,0.23786717752234993
8,50,22.781609,0.42,0.4701678060907396
34,50,22.989019,0.16,0.18771331058020477
28,50,23.187706,0.22,0.24713467048710602
32,50,23.39195,0.18,0.22109189555781622
32,50,23.587006,0.18,0.1983974358974359
12,50,23.755992,0.38,0.4423713511886849
16,50,23.944205,0.34,0.3746031746031746
28,50,24.137755,0.22,0.2582362728785358
26,50,24.333351,0.24,0.26739690721649484
24,50,24.525463,0.26,0.2906010230179028
14,50,24.697964,0.36,0.420253948590895
14,50,24.873127,0.36,0.3619047619047619
16,50,25.051532,0.34,0.3797872340425532
20,50,25.233827,0.3,0.33462033462033464
16,50,25.416798,0.34,0.38395852394022567
22,50,25.602048,0.28,0.27866136514247847
24,50,25.795019,0.26,0.2774172615184945
16,50,25.976496,0.34,0.3382059800664452
22,50,26.162854,0.28,0.30357142857142855
24,50,26.352471,0.26,0.31695721077654515
14,50,26.533135,0.36,0.3955655526992288
28,50,26.727394,0.22,0.2150087260034904
16,50,28.267842,0.34,0.36645962732919257
4,50,28.435793,0.46,0.5082178536899774
8,50,28.60641,0.42,0.4373679444612134
18,50,28.781235,0.32,0.3760119940029985
22,50,28.968849,0.28,0.29417571569595263
14,50,29.142361,0.36,0.3937082936129647
18,50,29.326417,0.32,0.4001944264419961
16,50,29.502384,0.34,0.3780125453945196
24,50,29.691888,0.26,0.3163107397090684
22,50,29.872876,0.28,0.344147582697201
30,50,30.066753,0.2,0.21346522016592215
18,50,30.242289,0.32,0.39854384298828743
24,50,30.430203,0.26,0.30106516290726815
18,50,30.611068,0.32,0.3754055807916937
20,50,30.792142,0.3,0.3660917670029287
14,50,30.970624,0.36,0.43328
26,50,31.163684,0.24,0.2656552614590058
22,50,31.352145,0.28,0.3191616766467066
34,50,31.548877,0.16,0.1952088054386533
16,50,31.727591,0.34,0.4004876562023773
18,50,31.910496,0.32,0.37391841779975277
22,50,32.090993,0.28,0.3051211284881938
32,50,32.290713,0.18,0.22043343653250774
28,50,32.490225,0.22,0.2774390243902439
24,50,32.679721,0.26,0.23745928338762215
36,50,32.881038,0.14,0.1409956565319078
34,50,33.087178,0.16,0.17313858211613822
22,50,33.273414,0.28,0.3394524959742351
16,50,33.457142,0.34,0.37255474452554743
22,50,33.645008,0.28,0.3242811501597444
24,50,33.838642,0.26,0.30003171582619725
22,50,34.024812,0.28,0.3353399433427762
28,50,34.215309,0.22,0.238621997471555
34,50,34.410941,0.16,0.16796997184860807
6,50,34.581593,0.44,0.4363863707408565
10,50,34.748146,0.4,0.45962918660287083
26,50,34.949982,0.24,0.27269800386349
20,50,35.127973,0.3,0.3556183301946014
26,50,35.322574,0.24,0.244140625
18,50,35.499523,0.32,0.34263354882613134
26,50,35.697232,0.24,0.24370860927152319
34,50,37.260675,0.16,0.15073397780164696
36,50,37.469595,0.14,0.17595593000648088
36,50,37.678372,0.14,0.13822525597269625
26,50,37.872563,0.24,0.24777549623545517
30,50,38.060249,0.2,0.22868217054263565
16,50,38.23945,0.34,0.35255813953488374
22,50,38.420028,0.28,0.3350286077558805
16,50,38.60059,0.34,0.3588039867109635
24,50,38.785561,0.26,0.3068144766873166
16,50,38.966083,0.34,0.3668013677339136
18,50,39.141856,0.32,0.3562333432040272
20,50,39.325604,0.3,0.3654345006485084
