#{"t_start": 1663577230.7039504, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
48,50,33.729244,0.04,0.05436774587660354
49,50,33.844803,0.02,0.025678866587957497
47,50,33.971983,0.06,0.07687338501291989
50,50,34.084395,0.0,0.0
46,50,34.215891,0.08,0.10879945429740791
47,50,34.335241,0.06,0.0814352574102964
49,50,34.458947,0.02,0.020205160087037613
46,50,34.587302,0.08,0.11399805131536213
43,50,34.717489,0.14,0.1983525535420099
48,50,34.859358,0.04,0.043244949494949496
47,50,34.996483,0.06,0.07321376065862982
48,50,35.131375,0.04,0.05388004066418163
46,50,35.263747,0.08,0.07537853851217907
48,50,35.396816,0.04,0.05623787976729153
47,50,35.534327,0.06,0.06822742474916388
41,50,35.678169,0.18,0.23518164435946462
46,50,35.892647,0.08,0.09514563106796116
50,50,36.000008,0.0,0.0
49,50,36.111357,0.02,0.027137898390659516
48,50,36.243531,0.04,0.04773637203572528
48,50,36.364783,0.04,0.05046518184381167
43,50,36.499626,0.14,0.16399721448467966
45,50,36.623478,0.1,0.11470682473566164
50,50,36.737665,0.0,0.0
48,50,36.856865,0.04,0.06262558606831882
49,50,36.974126,0.02,0.031446540880503145
50,50,37.090126,0.0,0.0
49,50,37.199348,0.02,0.02579564489112228
49,50,37.319559,0.02,0.031599736668861095
50,50,37.436609,0.0,0.0
49,50,37.545398,0.02,0.029793977812995247
50,50,37.646501,0.0,0.0
42,50,37.79117,0.16,0.18823146944083224
48,50,37.919474,0.04,0.03914590747330961
46,50,38.044119,0.08,0.12050667579596029
45,50,38.172976,0.1,0.12942243725430905
48,50,38.305042,0.04,0.057593210063655656
47,50,38.444306,0.06,0.07389480477573411
45,50,38.578434,0.1,0.11773562180066245
45,50,38.71484,0.1,0.13080601092896174
50,50,38.829695,0.0,0.0
43,50,38.973076,0.14,0.17012175057584733
48,50,39.088815,0.04,0.04533060668029993
40,50,39.229234,0.2,0.22666666666666666
45,50,39.372141,0.1,0.11675441313100031
44,50,39.511637,0.12,0.12278440219142765
48,50,39.632394,0.04,0.030652503793626707
50,50,39.761083,0.0,0.0
47,50,39.882335,0.06,0.0880025324469769
46,50,40.002692,0.08,0.07857142857142857
47,50,40.12696,0.06,0.06619309008718115
50,50,40.242918,0.0,0.0
45,50,40.380603,0.1,0.13351416515973477
50,50,40.50404,0.0,0.0
47,50,40.635343,0.06,0.06341768197438301
48,50,40.759039,0.04,0.03819918144611187
46,50,40.893081,0.08,0.09595782073813708
44,50,41.020456,0.12,0.13957475994513033
44,50,41.170259,0.12,0.12849557522123894
50,50,41.284381,0.0,0.0
49,50,41.42132,0.02,0.023019634394041977
44,50,41.56344,0.12,0.15174363807728558
45,50,41.695803,0.1,0.1439055520102106
50,50,41.833179,0.0,0.0
47,50,41.968916,0.06,0.08009006111289804
48,50,42.105955,0.04,0.046565389696169086
48,50,42.232034,0.04,0.05040197897340754
42,50,42.37289,0.16,0.19602272727272727
46,50,42.495186,0.08,0.09432648799164636
47,50,42.617309,0.06,0.04708960104643558
46,50,42.755482,0.08,0.10156720916214587
48,50,42.88045,0.04,0.05401234567901234
47,50,43.003408,0.06,0.07341622261693309
46,50,43.13223,0.08,0.10600817867253853
46,50,43.262493,0.08,0.08708414872798434
45,50,43.389936,0.1,0.1341305753070459
45,50,43.518126,0.1,0.12532894736842104
46,50,43.640626,0.08,0.09108527131782945
48,50,43.776262,0.04,0.04243008678881389
48,50,43.89988,0.04,0.053886652214307836
50,50,44.034138,0.0,0.0
48,50,44.162044,0.04,0.04566823371390195
46,50,44.303622,0.08,0.0964328899637243
47,50,44.429307,0.06,0.07113757442807897
47,50,44.557203,0.06,0.07302853636084689
46,50,44.693157,0.08,0.09353202282815472
44,50,44.828663,0.12,0.1386618225855283
46,50,44.97084,0.08,0.06925393108062897
49,50,45.093172,0.02,0.03142209264658244
45,50,45.231532,0.1,0.10865671641791044
44,50,45.380667,0.12,0.1595112285336856
48,50,45.501034,0.04,0.039396737457679284
48,50,45.649775,0.04,0.061855670103092786
47,50,45.785117,0.06,0.08451634202707164
38,50,45.932336,0.24,0.2824074074074074
49,50,46.068642,0.02,0.029831799428752775
42,50,46.199467,0.16,0.21677873839257125
40,50,46.337959,0.2,0.2419035029742234
43,50,46.477656,0.14,0.20152354570637118
48,50,46.609317,0.04,0.0562111801242236
46,50,46.72564,0.08,0.08591282375236892
48,50,46.846156,0.04,0.04640371229698376
45,50,46.976795,0.1,0.13847117794486216
43,50,47.109404,0.14,0.1926485067279291
46,50,47.249445,0.08,0.08012379642365887
47,50,47.377691,0.06,0.08128834355828221
41,50,47.516602,0.18,0.21649484536082475
48,50,47.643923,0.04,0.04484887877803055
45,50,47.771203,0.1,0.11347743165924984
49,50,47.899429,0.02,0.022690955576861616
40,50,48.035858,0.2,0.2598274209012464
43,50,48.17204,0.14,0.19096443447612946
48,50,48.29663,0.04,0.05924382256623995
45,50,48.418627,0.1,0.12269747112082423
48,50,48.540512,0.04,0.05211835911230666
48,50,48.667556,0.04,0.05429864253393665
40,50,48.814117,0.2,0.22891963109354413
46,50,48.95149,0.08,0.1030995106035889
48,50,49.079965,0.04,0.026282457251424952
46,50,49.20234,0.08,0.09954476479514415
50,50,49.329941,0.0,0.0
43,50,49.468695,0.14,0.14933774834437086
45,50,49.600545,0.1,0.1305909239307868
48,50,49.730586,0.04,0.058483509010540634
48,50,49.848563,0.04,0.05384615384615385
47,50,49.970459,0.06,0.06045016077170418
45,50,50.106849,0.1,0.11636363636363636
48,50,50.234842,0.04,0.05056
48,50,50.344551,0.04,0.03711066931742876
48,50,50.462589,0.04,0.041052961454089626
47,50,50.588422,0.06,0.06832504145936982
45,50,50.720431,0.1,0.1215786123488224
39,50,50.873569,0.22,0.2724814063556457
49,50,51.004611,0.02,0.02679127725856698
50,50,51.125381,0.0,0.0
44,50,51.261591,0.12,0.14579496623695518
44,50,51.39333,0.12,0.15185676392572944
46,50,51.522138,0.08,0.10883657454793585
39,50,51.660906,0.22,0.2644628099173554
47,50,51.779525,0.06,0.0797148412184057
45,50,51.902734,0.1,0.11358502742820265
45,50,52.033437,0.1,0.130465197621546
44,50,52.151268,0.12,0.15008
50,50,52.285889,0.0,0.0
50,50,52.39992,0.0,0.0
46,50,52.531002,0.08,0.07872340425531915
46,50,52.65228,0.08,0.10527912621359223
44,50,52.781201,0.12,0.15080906148867315
47,50,52.906938,0.06,0.060909090909090906
42,50,53.039312,0.16,0.19851277077271257
38,50,53.185023,0.24,0.2699443413729128
40,50,53.318329,0.2,0.2275132275132275
46,50,53.440344,0.08,0.1075234097513723
