#{"t_start": 1663577230.7014184, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
44,50,13.580657,0.12,0.12475696694750486
43,50,13.684246,0.14,0.1521954440409376
46,50,13.794822,0.08,0.09873104302073661
40,50,13.893582,0.2,0.2477735368956743
46,50,14.003461,0.08,0.0816847479259732
42,50,14.112442,0.16,0.18391896169673946
41,50,14.221485,0.18,0.22807017543859648
45,50,14.330264,0.1,0.12232316677482155
43,50,14.440208,0.14,0.17051740969736415
42,50,14.556933,0.16,0.19648
45,50,14.666631,0.1,0.12976113621691412
50,50,14.784398,0.0,0.0
39,50,14.883522,0.22,0.22661055357720944
36,50,14.984,0.28,0.34593111856141423
43,50,15.090839,0.14,0.16532756489493203
40,50,15.20125,0.2,0.22508432996013492
46,50,15.319009,0.08,0.10588235294117647
44,50,15.425498,0.12,0.14363143631436315
48,50,15.539984,0.04,0.03876221498371336
49,50,15.651268,0.02,0.028065486134313398
48,50,15.765054,0.04,0.06697541859636623
43,50,15.8783,0.14,0.1603864734299517
43,50,15.972538,0.14,0.1632116788321168
43,50,16.079146,0.14,0.1769968051118211
47,50,16.179907,0.06,0.07611798287345385
41,50,16.280491,0.18,0.19440509915014165
43,50,16.388891,0.14,0.1611883691529709
43,50,16.493189,0.14,0.16515483265561465
39,50,16.595621,0.22,0.2650828383869959
35,50,16.698516,0.3,0.3651315789473684
42,50,16.805346,0.16,0.1783644558918223
46,50,16.918808,0.08,0.1064030131826742
43,50,17.025158,0.14,0.1484375
46,50,17.133574,0.08,0.11296359305886355
46,50,17.245191,0.08,0.10894039735099338
47,50,17.357693,0.06,0.055853920515574654
47,50,17.470387,0.06,0.07679844458846403
49,50,17.584377,0.02,0.01808873720136519
43,50,17.699147,0.14,0.1834360027378508
43,50,17.806827,0.14,0.16472868217054262
42,50,17.920672,0.16,0.1826356589147287
39,50,18.021716,0.22,0.2972027972027972
44,50,18.138112,0.12,0.14651162790697675
42,50,18.248964,0.16,0.16335180958591458
41,50,18.35384,0.18,0.20671433012123097
33,50,18.455121,0.34,0.3920639620965354
44,50,18.562736,0.12,0.1300259403372244
43,50,18.668242,0.14,0.13963414634146343
36,50,18.772482,0.28,0.31727272727272726
36,50,18.872716,0.28,0.31335504885993487
40,50,18.970179,0.2,0.2253337675024422
44,50,19.077296,0.12,0.14218603194487942
42,50,19.186831,0.16,0.18542829012143092
45,50,19.297518,0.1,0.11361310133060389
44,50,19.404838,0.12,0.15172622652937615
43,50,19.516909,0.14,0.162054018006002
37,50,19.618843,0.26,0.28539962240402766
46,50,19.734493,0.08,0.10658409387222946
42,50,19.835614,0.16,0.18001885014137606
40,50,19.937923,0.2,0.19318547090967533
41,50,20.044291,0.18,0.1949317738791423
44,50,20.151711,0.12,0.15305761753269706
45,50,20.261793,0.1,0.11764705882352941
45,50,20.367922,0.1,0.12014248704663212
44,50,20.479014,0.12,0.12388564402090378
43,50,20.594262,0.14,0.15160848733744012
41,50,20.703264,0.18,0.19935691318327975
48,50,20.821879,0.04,0.02810077519379845
45,50,20.931484,0.1,0.0962962962962963
39,50,21.034737,0.22,0.2702875399361022
42,50,21.142573,0.16,0.18661257606490872
42,50,21.251057,0.16,0.16165904637491835
46,50,21.366545,0.08,0.08838709677419355
38,50,21.466418,0.24,0.26506024096385544
41,50,21.570152,0.18,0.20085050703303892
44,50,21.680545,0.12,0.14871116986120292
43,50,21.784177,0.14,0.17343427391603577
44,50,21.89757,0.12,0.1505047415111655
50,50,22.00412,0.0,0.0
46,50,22.109403,0.08,0.08025520483546005
46,50,22.221292,0.08,0.08906098741529525
40,50,22.328115,0.2,0.19820109219402507
45,50,22.438822,0.1,0.10443250503693755
42,50,22.549452,0.16,0.14784672770430654
41,50,22.653211,0.18,0.22772606382978725
42,50,22.760014,0.16,0.18518518518518517
45,50,22.873356,0.1,0.11646458200382898
47,50,22.982694,0.06,0.061946902654867256
44,50,23.087614,0.12,0.1444509688784498
40,50,23.188297,0.2,0.19636471990464838
36,50,23.280508,0.28,0.3091194968553459
34,50,23.37108,0.32,0.35311770590196734
42,50,23.473568,0.16,0.1635332736496568
38,50,23.580674,0.24,0.30654569021386907
40,50,23.679522,0.2,0.22580645161290322
42,50,23.78214,0.16,0.23117522871217452
37,50,23.883294,0.26,0.28974279516578866
39,50,23.980866,0.22,0.2301838934686113
37,50,24.080085,0.26,0.295425667090216
40,50,24.18312,0.2,0.2655045256453235
41,50,24.292986,0.18,0.18232588699080157
42,50,24.403385,0.16,0.20659191301393137
40,50,24.510706,0.2,0.22274562584118437
41,50,24.61712,0.18,0.19437340153452684
46,50,24.731527,0.08,0.0902016271666077
42,50,24.838745,0.16,0.190978886756238
43,50,24.951718,0.14,0.1752767527675277
39,50,25.046223,0.22,0.27612655800575264
37,50,25.144177,0.26,0.30097087378640774
46,50,25.255033,0.08,0.09874152952565343
50,50,25.379758,0.0,0.0
42,50,25.494188,0.16,0.19510559839088165
42,50,25.605339,0.16,0.17899907890696962
42,50,25.71376,0.16,0.18978318978318978
43,50,25.823272,0.14,0.16764807758919292
39,50,25.930118,0.22,0.26670754138565295
46,50,26.050201,0.08,0.08205295848316443
47,50,26.156433,0.06,0.0939068100358423
41,50,26.257159,0.18,0.23550966022651565
44,50,26.363594,0.12,0.14896988906497624
42,50,26.475116,0.16,0.16006546644844516
37,50,26.576804,0.26,0.2710843373493976
40,50,26.679531,0.2,0.2396413110698825
44,50,26.791465,0.12,0.13415825464018236
45,50,26.898929,0.1,0.09586405899326707
47,50,27.014275,0.06,0.08716875871687588
45,50,27.127491,0.1,0.12712397734424166
40,50,27.233594,0.2,0.21389514313284014
46,50,27.348192,0.08,0.09837728194726167
42,50,27.45678,0.16,0.16759431045145332
33,50,27.548818,0.34,0.37260092653871607
41,50,27.650557,0.18,0.2
37,50,27.753214,0.26,0.28689492325855964
43,50,27.86286,0.14,0.1472205253512523
46,50,27.969096,0.08,0.10182998819362456
43,50,28.077317,0.14,0.1375968992248062
49,50,28.177758,0.02,0.019527235354573486
38,50,28.268721,0.24,0.2970668485675307
44,50,28.366493,0.12,0.14914196567862714
39,50,28.471163,0.22,0.2287845819086105
41,50,28.574283,0.18,0.2250730756739201
33,50,28.672885,0.34,0.37528830313014827
42,50,28.774201,0.16,0.16477272727272727
41,50,28.876747,0.18,0.17494854454572184
43,50,28.977353,0.14,0.19247712639783124
45,50,29.087811,0.1,0.11816984858459513
44,50,29.193353,0.12,0.15804783451842275
43,50,29.300249,0.14,0.16555183946488294
36,50,29.399262,0.28,0.34831102613129383
43,50,29.582403,0.14,0.16310679611650486
48,50,29.682327,0.04,0.046511627906976744
48,50,29.793492,0.04,0.050489113284947935
43,50,29.901762,0.14,0.14906067138897444
42,50,30.011309,0.16,0.1733859599661686
42,50,30.120598,0.16,0.18419220055710306
42,50,30.218651,0.16,0.17398269785325216
49,50,30.325032,0.02,0.026812313803376366
42,50,30.426799,0.16,0.17615539182853315
48,50,30.531785,0.04,0.03773584905660377
47,50,30.634877,0.06,0.06941778630838132
46,50,30.73051,0.08,0.11222780569514237
41,50,30.826502,0.18,0.2119815668202765
46,50,30.923849,0.08,0.10199485199485199
46,50,31.022586,0.08,0.101743264659271
50,50,31.125637,0.0,0.0
41,50,31.235018,0.18,0.18725617685305593
42,50,31.338656,0.16,0.19702361695244258
48,50,31.447779,0.04,0.06299212598425197
43,50,31.549103,0.14,0.17357121257937708
39,50,31.644263,0.22,0.23946650500151562
42,50,31.738617,0.16,0.14617618586640851
40,50,31.833477,0.2,0.2345679012345679
41,50,31.932267,0.18,0.18442622950819673
47,50,32.038098,0.06,0.06947100063734862
38,50,32.133556,0.24,0.24317209608423823
44,50,32.232352,0.12,0.16496250852079072
39,50,32.332183,0.22,0.2365079365079365
37,50,32.428739,0.26,0.2805822235986373
39,50,32.526377,0.22,0.2236545278762488
44,50,32.624606,0.12,0.12291350531107739
46,50,32.736326,0.08,0.09167974882260596
45,50,32.841396,0.1,0.12440645773979107
47,50,32.941345,0.06,0.07077922077922078
43,50,33.036289,0.14,0.16306102680012916
49,50,33.147719,0.02,0.02140468227424749
42,50,33.252385,0.16,0.17661241711874623
41,50,33.359778,0.18,0.18791946308724833
40,50,33.462328,0.2,0.2218056857232115
46,50,33.56328,0.08,0.07742155525238745
43,50,33.672013,0.14,0.17012302284710018
40,50,33.775794,0.2,0.21810699588477367
37,50,33.881613,0.26,0.25097345132743365
48,50,33.988348,0.04,0.037448429070136464
48,50,34.111248,0.04,0.044008124576844956
33,50,34.204604,0.34,0.3411875589066918
39,50,34.308104,0.22,0.24856413529036375
47,50,34.422556,0.06,0.0775888717156105
39,50,34.527704,0.22,0.24734641363782567
40,50,34.631499,0.2,0.1998018494055482
44,50,34.733315,0.12,0.14749536178107606
49,50,34.856508,0.02,0.030618686868686868
44,50,34.967259,0.12,0.12008353637312913
47,50,35.078962,0.06,0.0735775016350556
38,50,35.18277,0.24,0.27034358047016277
44,50,35.281754,0.12,0.14629629629629629
45,50,35.390527,0.1,0.09561870929544108
41,50,35.497736,0.18,0.1925133689839572
41,50,35.605915,0.18,0.21330724070450097
44,50,35.718171,0.12,0.15869424692954104
48,50,35.826816,0.04,0.03388157894736842
47,50,35.938696,0.06,0.061046511627906974
47,50,36.058773,0.06,0.07939569270331083
43,50,36.166552,0.14,0.16661505109941158
45,50,36.271766,0.1,0.10500610500610501
40,50,36.381046,0.2,0.216252518468771
40,50,36.488972,0.2,0.22158403869407498
43,50,36.593589,0.14,0.1936696960200564
40,50,36.700227,0.2,0.25467934949370974
39,50,36.80538,0.22,0.2501585288522511
40,50,36.90616,0.2,0.21223130487435665
44,50,37.020962,0.12,0.13850786216125793
50,50,37.141088,0.0,0.0
33,50,37.23416,0.34,0.36029850746268655
40,50,37.334586,0.2,0.24471598414795245
44,50,37.446058,0.12,0.15420129270544783
44,50,37.556683,0.12,0.15962753574991687
43,50,37.666203,0.14,0.14031033344338065
34,50,37.766567,0.32,0.351521164021164
44,50,37.87548,0.12,0.15011107584893685
38,50,37.972678,0.24,0.287223823246878
36,50,38.071652,0.28,0.325181758096497
40,50,38.175271,0.2,0.2648891966759003
43,50,38.289128,0.14,0.16956521739130434
43,50,38.392145,0.14,0.15761212886923562
43,50,38.498849,0.14,0.13954259197878688
44,50,38.604339,0.12,0.15852130325814537
40,50,38.702677,0.2,0.23728257302264522
41,50,38.814408,0.18,0.22248968363136176
42,50,38.918924,0.16,0.17914110429447852
40,50,39.020327,0.2,0.20618556701030927
44,50,39.130362,0.12,0.10887227819304518
41,50,39.241753,0.18,0.2053401144310235
47,50,39.35578,0.06,0.06168104825822947
32,50,39.454556,0.36,0.432086928731224
35,50,39.552044,0.3,0.3399551425825056
46,50,39.661811,0.08,0.11283119976183388
41,50,39.766668,0.18,0.2176084920387137
43,50,39.875414,0.14,0.15097511768661734
37,50,39.972213,0.26,0.25145442792501616
39,50,40.075547,0.22,0.2381422924901186
44,50,40.179408,0.12,0.1135399673735726
45,50,40.289779,0.1,0.13299556681443953
47,50,40.405578,0.06,0.06798179059180577
43,50,40.515469,0.14,0.1686182669789227
41,50,40.628901,0.18,0.22483443708609271
37,50,40.730694,0.26,0.33986287952987265
43,50,40.837831,0.14,0.1972118327099626
41,50,40.939484,0.18,0.2230769230769231
45,50,41.043805,0.1,0.08456591639871383
32,50,41.14113,0.36,0.40892561983471076
40,50,41.243343,0.2,0.21184
46,50,41.3455,0.08,0.10768721007289596
39,50,41.443014,0.22,0.2538389219680351
40,50,41.538001,0.2,0.24212271973466004
42,50,41.648055,0.16,0.18555060471037554
31,50,41.743007,0.38,0.41446923597025015
45,50,41.851533,0.1,0.09750778816199376
47,50,41.971871,0.06,0.0712890625
40,50,42.075811,0.2,0.22191528545119704
43,50,42.188001,0.14,0.17771883289124668
40,50,42.291307,0.2,0.19651995905834185
37,50,42.399335,0.26,0.30991735537190085
47,50,42.515713,0.06,0.08036292935839275
40,50,42.621578,0.2,0.21523071958696355
41,50,42.731291,0.18,0.2161594963273872
42,50,42.83634,0.16,0.18176
44,50,42.952965,0.12,0.14700065919578115
49,50,43.066951,0.02,0.013238289205702648
43,50,43.177101,0.14,0.17507598784194528
39,50,43.280841,0.22,0.24969660194174756
39,50,43.381541,0.22,0.21035598705501618
42,50,43.484067,0.16,0.15333333333333332
34,50,43.582448,0.32,0.36501778208858715
37,50,43.689114,0.26,0.2813852813852814
41,50,43.791228,0.18,0.20230314347961406
47,50,43.904335,0.06,0.07587988375847594
44,50,44.02105,0.12,0.1370429252782194
40,50,44.124802,0.2,0.22774457376533502
36,50,44.224619,0.28,0.32206172028890345
45,50,44.335686,0.1,0.10316139767054909
44,50,44.44718,0.12,0.14178403755868543
45,50,44.55908,0.1,0.11413043478260869
41,50,44.658112,0.18,0.22050098879367172
45,50,44.770543,0.1,0.12057877813504823
45,50,44.877413,0.1,0.1313301823092505
37,50,44.980892,0.26,0.2805071315372425
43,50,45.085792,0.14,0.15184308420696652
40,50,45.192827,0.2,0.23473389355742297
43,50,45.299766,0.14,0.17465852949723917
45,50,45.406062,0.1,0.15153560580492745
47,50,45.51377,0.06,0.06331811263318113
49,50,45.623758,0.02,0.01974749109744254
42,50,45.721453,0.16,0.18603885413236748
43,50,45.826095,0.14,0.13878896882494005
42,50,45.939472,0.16,0.176214405360134
42,50,46.046834,0.16,0.1834862385321101
